drug_name,adverse_event,case_count,quarter,total_drug_reports,total_event_reports,total_database_reports
ACETAMINOPHEN,ACUTE HEPATIC FAILURE,69,2025q2,130285,681,12399810
ACETAMINOPHEN,ACUTE KIDNEY INJURY,315,2025q2,130285,20857,12399810
ACETAMINOPHEN,ACUTE LUNG INJURY,2,2025q2,130285,50,12399810
ACETAMINOPHEN,ACUTE LYMPHOCYTIC LEUKAEMIA RECURRENT,3,2025q2,130285,253,12399810
ACETAMINOPHEN,ACUTE MYELOID LEUKAEMIA,4,2025q2,130285,1547,12399810
ACETAMINOPHEN,ACUTE MYOCARDIAL INFARCTION,17,2025q2,130285,2250,12399810
ACETAMINOPHEN,ACUTE OESOPHAGEAL MUCOSAL LESION,4,2025q2,130285,50,12399810
ACETAMINOPHEN,ACUTE PHASE REACTION,2,2025q2,130285,44,12399810
ACETAMINOPHEN,ACUTE PSYCHOSIS,2,2025q2,130285,204,12399810
ACETAMINOPHEN,ACUTE PULMONARY OEDEMA,11,2025q2,130285,513,12399810
ACETAMINOPHEN,ACUTE RESPIRATORY DISTRESS SYNDROME,8,2025q2,130285,1597,12399810
ACETAMINOPHEN,ACUTE RESPIRATORY FAILURE,36,2025q2,130285,3158,12399810
ACETAMINOPHEN,ACUTE SINUSITIS,6,2025q2,130285,372,12399810
ACETAMINOPHEN,ADAMTS13 ACTIVITY DECREASED,1,2025q2,130285,21,12399810
ACETAMINOPHEN,ADDISON'S DISEASE,2,2025q2,130285,364,12399810
ACETAMINOPHEN,ADENOIDAL DISORDER,1,2025q2,130285,22,12399810
ACETAMINOPHEN,ADENOMYOSIS,1,2025q2,130285,108,12399810
ACETAMINOPHEN,ADENOVIRUS INFECTION,7,2025q2,130285,699,12399810
ACETAMINOPHEN,ADENOVIRUS INTERSTITIAL NEPHRITIS,1,2025q2,130285,35,12399810
ACETAMINOPHEN,ADENOVIRUS TEST POSITIVE,1,2025q2,130285,15,12399810
ACETAMINOPHEN,ADHESION,2,2025q2,130285,80,12399810
ACETAMINOPHEN,ADJUSTMENT DISORDER,25,2025q2,130285,1574,12399810
ACETAMINOPHEN,ADJUSTMENT DISORDER WITH DEPRESSED MOOD,149,2025q2,130285,15098,12399810
ACETAMINOPHEN,ADMINISTRATION SITE BRUISE,1,2025q2,130285,60,12399810
ACETAMINOPHEN,ADMINISTRATION SITE DISCHARGE,1,2025q2,130285,51,12399810
ACETAMINOPHEN,ADMINISTRATION SITE DISCOMFORT,1,2025q2,130285,83,12399810
ACETAMINOPHEN,ADMINISTRATION SITE EXTRAVASATION,2,2025q2,130285,85,12399810
ACETAMINOPHEN,ADMINISTRATION SITE HAEMORRHAGE,1,2025q2,130285,63,12399810
ACETAMINOPHEN,ADMINISTRATION SITE INFECTION,1,2025q2,130285,40,12399810
ACETAMINOPHEN,ADMINISTRATION SITE INFLAMMATION,2,2025q2,130285,95,12399810
ACETAMINOPHEN,ADMINISTRATION SITE IRRITATION,2,2025q2,130285,78,12399810
ACETAMINOPHEN,ADMINISTRATION SITE PAIN,4,2025q2,130285,156,12399810
ACETAMINOPHEN,ADMINISTRATION SITE REACTION,1,2025q2,130285,98,12399810
ACETAMINOPHEN,ADMINISTRATION SITE SCAR,1,2025q2,130285,15,12399810
ACETAMINOPHEN,ADNEXA UTERI PAIN,1,2025q2,130285,63,12399810
ACETAMINOPHEN,ADNEXAL TORSION,1,2025q2,130285,63,12399810
ACETAMINOPHEN,ADRENAL ADENOMA,1,2025q2,130285,88,12399810
ACETAMINOPHEN,ADRENAL DISORDER,7,2025q2,130285,431,12399810
ACETAMINOPHEN,ADRENAL GLAND CANCER,1,2025q2,130285,58,12399810
ACETAMINOPHEN,ADRENAL INSUFFICIENCY,29,2025q2,130285,4389,12399810
ACETAMINOPHEN,ADRENAL MASS,2,2025q2,130285,168,12399810
ACETAMINOPHEN,ADRENAL NEOPLASM,2,2025q2,130285,191,12399810
ACETAMINOPHEN,ADRENOCORTICAL INSUFFICIENCY ACUTE,2,2025q2,130285,301,12399810
ACETAMINOPHEN,ADRENOMEGALY,1,2025q2,130285,21,12399810
ACETAMINOPHEN,ADVERSE DRUG REACTION,164,2025q2,130285,16207,12399810
ACETAMINOPHEN,ADVERSE EVENT,177,2025q2,130285,17621,12399810
ACETAMINOPHEN,ADVERSE REACTION,71,2025q2,130285,5924,12399810
ACETAMINOPHEN,AEROCOCCUS URINAE INFECTION,1,2025q2,130285,21,12399810
ACETAMINOPHEN,AFFECT LABILITY,27,2025q2,130285,1854,12399810
ACETAMINOPHEN,AFFECTIVE DISORDER,15,2025q2,130285,1137,12399810
ACETAMINOPHEN,AGE-RELATED MACULAR DEGENERATION,1,2025q2,130285,78,12399810
ACETAMINOPHEN,AGEUSIA,10,2025q2,130285,1711,12399810
ACETAMINOPHEN,AGGRESSION,17,2025q2,130285,3727,12399810
ACETAMINOPHEN,AGITATION,44,2025q2,130285,4716,12399810
ACETAMINOPHEN,AGNOSIA,1,2025q2,130285,31,12399810
ACETAMINOPHEN,AGRANULOCYTOSIS,27,2025q2,130285,2454,12399810
ACETAMINOPHEN,AIRWAY PEAK PRESSURE INCREASED,1,2025q2,130285,79,12399810
ACETAMINOPHEN,AKATHISIA,14,2025q2,130285,985,12399810
ACETAMINOPHEN,ALANINE AMINOTRANSFERASE ABNORMAL,1,2025q2,130285,301,12399810
ACETAMINOPHEN,ALANINE AMINOTRANSFERASE INCREASED,68,2025q2,130285,7447,12399810
ACETAMINOPHEN,ALBUMIN CSF INCREASED,2,2025q2,130285,26,12399810
ACETAMINOPHEN,ALBUMIN GLOBULIN RATIO DECREASED,3,2025q2,130285,108,12399810
ACETAMINOPHEN,ALBUMINURIA,2,2025q2,130285,100,12399810
ACETAMINOPHEN,ALCOHOL ABUSE,4,2025q2,130285,257,12399810
ACETAMINOPHEN,ALCOHOL INTERACTION,4,2025q2,130285,99,12399810
ACETAMINOPHEN,ALCOHOL POISONING,37,2025q2,130285,2284,12399810
ACETAMINOPHEN,ALCOHOL USE,1,2025q2,130285,48,12399810
ACETAMINOPHEN,ALCOHOL WITHDRAWAL SYNDROME,2,2025q2,130285,94,12399810
ACETAMINOPHEN,ALCOHOLIC KETOACIDOSIS,1,2025q2,130285,41,12399810
ACETAMINOPHEN,ALCOHOLISM,1,2025q2,130285,182,12399810
ACETAMINOPHEN,ALLERGIC BRONCHITIS,1,2025q2,130285,50,12399810
ACETAMINOPHEN,ALLERGIC COUGH,7,2025q2,130285,215,12399810
ACETAMINOPHEN,ALLERGIC FUNGAL RHINOSINUSITIS,1,2025q2,130285,32,12399810
ACETAMINOPHEN,ALLERGIC OEDEMA,4,2025q2,130285,48,12399810
ACETAMINOPHEN,ALLERGIC REACTION TO EXCIPIENT,1,2025q2,130285,169,12399810
ACETAMINOPHEN,ALLERGIC SINUSITIS,35,2025q2,130285,1294,12399810
ACETAMINOPHEN,ALLERGY TEST NEGATIVE,3,2025q2,130285,9,12399810
ACETAMINOPHEN,ALLERGY TEST POSITIVE,3,2025q2,130285,24,12399810
ACETAMINOPHEN,ALLERGY TO ANIMAL,10,2025q2,130285,705,12399810
ACETAMINOPHEN,ALLERGY TO ARTHROPOD BITE,3,2025q2,130285,53,12399810
ACETAMINOPHEN,ALLERGY TO ARTHROPOD STING,4,2025q2,130285,264,12399810
ACETAMINOPHEN,ALLERGY TO CHEMICALS,11,2025q2,130285,505,12399810
ACETAMINOPHEN,ALLERGY TO IMMUNOGLOBULIN THERAPY,5,2025q2,130285,197,12399810
ACETAMINOPHEN,ALLERGY TO METALS,1,2025q2,130285,104,12399810
ACETAMINOPHEN,ALLERGY TO PLANTS,12,2025q2,130285,516,12399810
ACETAMINOPHEN,ALLERGY TO STING,1,2025q2,130285,20,12399810
ACETAMINOPHEN,ALLERGY TO SURGICAL SUTURES,1,2025q2,130285,20,12399810
ACETAMINOPHEN,ALLERGY TO SYNTHETIC FABRIC,1,2025q2,130285,32,12399810
ACETAMINOPHEN,ALLODYNIA,9,2025q2,130285,242,12399810
ACETAMINOPHEN,ALOPECIA,526,2025q2,130285,51942,12399810
ACETAMINOPHEN,ALOPECIA SCARRING,1,2025q2,130285,38,12399810
ACETAMINOPHEN,ALPHA HAEMOLYTIC STREPTOCOCCAL INFECTION,4,2025q2,130285,242,12399810
ACETAMINOPHEN,ALPHA TUMOUR NECROSIS FACTOR INCREASED,4,2025q2,130285,62,12399810
ACETAMINOPHEN,ALPHA-1 ANTITRYPSIN DEFICIENCY,1,2025q2,130285,66,12399810
ACETAMINOPHEN,ALTERED STATE OF CONSCIOUSNESS,64,2025q2,130285,5375,12399810
ACETAMINOPHEN,ALTERED VISUAL DEPTH PERCEPTION,1,2025q2,130285,133,12399810
ACETAMINOPHEN,ALVEOLAR LUNG DISEASE,1,2025q2,130285,42,12399810
ACETAMINOPHEN,ALVEOLAR OSTEITIS,1,2025q2,130285,194,12399810
ACETAMINOPHEN,ALVEOLITIS,1,2025q2,130285,27,12399810
ACETAMINOPHEN,AMAUROSIS FUGAX,41,2025q2,130285,3081,12399810
ACETAMINOPHEN,AMMONIA ABNORMAL,1,2025q2,130285,85,12399810
ACETAMINOPHEN,AMMONIA INCREASED,2,2025q2,130285,307,12399810
ACETAMINOPHEN,AMNESIA,176,2025q2,130285,19614,12399810
ACETAMINOPHEN,AMNIOTIC CAVITY INFECTION,1,2025q2,130285,30,12399810
ACETAMINOPHEN,AMNIOTIC FLUID INDEX INCREASED,1,2025q2,130285,45,12399810
ACETAMINOPHEN,AMNIOTIC MEMBRANE GRAFT,1,2025q2,130285,55,12399810
ACETAMINOPHEN,AMPUTATION,1,2025q2,130285,26,12399810
ACETAMINOPHEN,AMYLASE INCREASED,13,2025q2,130285,495,12399810
ACETAMINOPHEN,AMYLOIDOSIS,2,2025q2,130285,193,12399810
ACETAMINOPHEN,ANAEMIA,274,2025q2,130285,27128,12399810
ACETAMINOPHEN,ANAEMIA MACROCYTIC,1,2025q2,130285,443,12399810
ACETAMINOPHEN,ANAEMIA OF MALIGNANT DISEASE,1,2025q2,130285,90,12399810
ACETAMINOPHEN,ANAEMIA POSTOPERATIVE,1,2025q2,130285,123,12399810
ACETAMINOPHEN,ANAESTHESIA,1,2025q2,130285,57,12399810
ACETAMINOPHEN,ANAESTHETIC COMPLICATION,1,2025q2,130285,122,12399810
ACETAMINOPHEN,ANAESTHETIC COMPLICATION NEUROLOGICAL,3,2025q2,130285,47,12399810
ACETAMINOPHEN,ANAL ABSCESS,11,2025q2,130285,822,12399810
ACETAMINOPHEN,ANAL BLISTER,1,2025q2,130285,35,12399810
ACETAMINOPHEN,ANAL CYST,1,2025q2,130285,23,12399810
ACETAMINOPHEN,ANAL FISSURE,23,2025q2,130285,1916,12399810
ACETAMINOPHEN,ANAL FISSURE HAEMORRHAGE,1,2025q2,130285,33,12399810
ACETAMINOPHEN,ANAL FISTULA,12,2025q2,130285,884,12399810
ACETAMINOPHEN,ANAL FISTULA INFECTION,1,2025q2,130285,40,12399810
ACETAMINOPHEN,ANAL HAEMORRHAGE,2,2025q2,130285,374,12399810
ACETAMINOPHEN,ANAL INCONTINENCE,14,2025q2,130285,1803,12399810
ACETAMINOPHEN,ANAL INFECTION,1,2025q2,130285,75,12399810
ACETAMINOPHEN,ANAL INFLAMMATION,1,2025q2,130285,168,12399810
ACETAMINOPHEN,ANAL NEOPLASM,1,2025q2,130285,33,12399810
ACETAMINOPHEN,ANAL POLYP,1,2025q2,130285,19,12399810
ACETAMINOPHEN,ANAL PRURITUS,2,2025q2,130285,109,12399810
ACETAMINOPHEN,ANAL SPHINCTER ATONY,3,2025q2,130285,40,12399810
ACETAMINOPHEN,ANALGESIC DRUG LEVEL INCREASED,22,2025q2,130285,60,12399810
ACETAMINOPHEN,ANALGESIC THERAPY,27,2025q2,130285,2434,12399810
ACETAMINOPHEN,ANAPHYLACTIC REACTION,93,2025q2,130285,6997,12399810
ACETAMINOPHEN,ANAPHYLACTIC SHOCK,15,2025q2,130285,2030,12399810
ACETAMINOPHEN,ANAPHYLACTOID REACTION,6,2025q2,130285,320,12399810
ACETAMINOPHEN,ANASTOMOTIC ULCER,1,2025q2,130285,128,12399810
ACETAMINOPHEN,ANEURYSM,3,2025q2,130285,324,12399810
ACETAMINOPHEN,ANEURYSM RUPTURED,1,2025q2,130285,77,12399810
ACETAMINOPHEN,ANGER,10,2025q2,130285,1665,12399810
ACETAMINOPHEN,ANGINA PECTORIS,50,2025q2,130285,3811,12399810
ACETAMINOPHEN,ANGIODYSPLASIA,1,2025q2,130285,34,12399810
ACETAMINOPHEN,ANGIOEDEMA,92,2025q2,130285,4709,12399810
ACETAMINOPHEN,ANGIOGRAM ABNORMAL,2,2025q2,130285,69,12399810
ACETAMINOPHEN,ANGIOMYOLIPOMA,3,2025q2,130285,93,12399810
ACETAMINOPHEN,ANGIOPATHY,9,2025q2,130285,833,12399810
ACETAMINOPHEN,ANGIOPLASTY,2,2025q2,130285,85,12399810
ACETAMINOPHEN,ANGIOSARCOMA,1,2025q2,130285,26,12399810
ACETAMINOPHEN,ANGLE CLOSURE GLAUCOMA,2,2025q2,130285,120,12399810
ACETAMINOPHEN,ANHEDONIA,3,2025q2,130285,1083,12399810
ACETAMINOPHEN,ANIMAL ATTACK,2,2025q2,130285,93,12399810
ACETAMINOPHEN,ANIMAL BITE,14,2025q2,130285,738,12399810
ACETAMINOPHEN,ANIMAL SCRATCH,3,2025q2,130285,398,12399810
ACETAMINOPHEN,ANION GAP,2,2025q2,130285,13,12399810
ACETAMINOPHEN,ANION GAP ABNORMAL,3,2025q2,130285,34,12399810
ACETAMINOPHEN,ANION GAP DECREASED,1,2025q2,130285,180,12399810
ACETAMINOPHEN,ANION GAP INCREASED,1,2025q2,130285,149,12399810
ACETAMINOPHEN,ANKLE ARTHROPLASTY,1,2025q2,130285,415,12399810
ACETAMINOPHEN,ANKLE FRACTURE,16,2025q2,130285,1836,12399810
ACETAMINOPHEN,ANKLE OPERATION,1,2025q2,130285,182,12399810
ACETAMINOPHEN,ANKYLOSING SPONDYLITIS,7,2025q2,130285,1714,12399810
ACETAMINOPHEN,ANONYCHIA,1,2025q2,130285,16,12399810
ACETAMINOPHEN,ANORECTAL DISCOMFORT,7,2025q2,130285,344,12399810
ACETAMINOPHEN,ANORECTAL DISORDER,1,2025q2,130285,96,12399810
ACETAMINOPHEN,ANORECTAL INFECTION,1,2025q2,130285,25,12399810
ACETAMINOPHEN,ANOREXIA NERVOSA,2,2025q2,130285,53,12399810
ACETAMINOPHEN,ANOSMIA,8,2025q2,130285,1028,12399810
ACETAMINOPHEN,ANOSOGNOSIA,2,2025q2,130285,44,12399810
ACETAMINOPHEN,ANTACID THERAPY,12,2025q2,130285,1296,12399810
ACETAMINOPHEN,ANTI FACTOR VIII ANTIBODY POSITIVE,1,2025q2,130285,36,12399810
ACETAMINOPHEN,ANTI FACTOR X ACTIVITY INCREASED,2,2025q2,130285,24,12399810
ACETAMINOPHEN,ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY,67,2025q2,130285,7431,12399810
ACETAMINOPHEN,ANTI-CYCLIC CITRULLINATED PEPTIDE ANTIBODY POSITIVE,435,2025q2,130285,38384,12399810
ACETAMINOPHEN,ANTI-NEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE VASCULITIS,2,2025q2,130285,431,12399810
ACETAMINOPHEN,ANTI-PLATELET FACTOR 4 ANTIBODY POSITIVE,2,2025q2,130285,62,12399810
ACETAMINOPHEN,ANTI-THYROID ANTIBODY,1,2025q2,130285,3,12399810
ACETAMINOPHEN,ANTI-THYROID ANTIBODY INCREASED,1,2025q2,130285,102,12399810
ACETAMINOPHEN,ANTI-THYROID ANTIBODY POSITIVE,1,2025q2,130285,79,12399810
ACETAMINOPHEN,ANTIBIOTIC ASSOCIATED COLITIS,1,2025q2,130285,14,12399810
ACETAMINOPHEN,ANTIBODY TEST ABNORMAL,1,2025q2,130285,66,12399810
ACETAMINOPHEN,ANTICHOLINERGIC SYNDROME,1,2025q2,130285,81,12399810
ACETAMINOPHEN,ANTICOAGULANT THERAPY,12,2025q2,130285,1338,12399810
ACETAMINOPHEN,ANTICOAGULATION DRUG LEVEL ABOVE THERAPEUTIC,4,2025q2,130285,139,12399810
ACETAMINOPHEN,ANTICOAGULATION DRUG LEVEL INCREASED,1,2025q2,130285,62,12399810
ACETAMINOPHEN,ANTIDEPRESSANT DRUG LEVEL ABOVE THERAPEUTIC,1,2025q2,130285,20,12399810
ACETAMINOPHEN,ANTINEUTROPHIL CYTOPLASMIC ANTIBODY POSITIVE,1,2025q2,130285,1936,12399810
ACETAMINOPHEN,ANTINUCLEAR ANTIBODY INCREASED,2,2025q2,130285,109,12399810
ACETAMINOPHEN,ANTINUCLEAR ANTIBODY POSITIVE,5,2025q2,130285,635,12399810
ACETAMINOPHEN,ANTIPHOSPHOLIPID SYNDROME,1,2025q2,130285,511,12399810
ACETAMINOPHEN,ANTIPSYCHOTIC DRUG LEVEL INCREASED,2,2025q2,130285,193,12399810
ACETAMINOPHEN,ANURIA,6,2025q2,130285,491,12399810
ACETAMINOPHEN,ANXIETY,398,2025q2,130285,47133,12399810
ACETAMINOPHEN,ANXIETY DISORDER,1,2025q2,130285,706,12399810
ACETAMINOPHEN,AORTIC ANEURYSM,5,2025q2,130285,537,12399810
ACETAMINOPHEN,AORTIC ARTERIOSCLEROSIS,5,2025q2,130285,459,12399810
ACETAMINOPHEN,AORTIC DISORDER,1,2025q2,130285,93,12399810
ACETAMINOPHEN,AORTIC DISSECTION,1,2025q2,130285,140,12399810
ACETAMINOPHEN,AORTIC RUPTURE,1,2025q2,130285,13,12399810
ACETAMINOPHEN,AORTIC STENOSIS,19,2025q2,130285,2120,12399810
ACETAMINOPHEN,AORTIC THROMBOSIS,1,2025q2,130285,48,12399810
ACETAMINOPHEN,AORTIC VALVE DISEASE,1,2025q2,130285,88,12399810
ACETAMINOPHEN,AORTIC VALVE INCOMPETENCE,3,2025q2,130285,744,12399810
ACETAMINOPHEN,AORTIC VALVE REPLACEMENT,1,2025q2,130285,115,12399810
ACETAMINOPHEN,AORTIC VALVE SCLEROSIS,1,2025q2,130285,94,12399810
ACETAMINOPHEN,AORTIC VALVE STENOSIS,1,2025q2,130285,178,12399810
ACETAMINOPHEN,APATHY,11,2025q2,130285,1503,12399810
ACETAMINOPHEN,APGAR SCORE LOW,2,2025q2,130285,46,12399810
ACETAMINOPHEN,APHASIA,32,2025q2,130285,3895,12399810
ACETAMINOPHEN,APHONIA,13,2025q2,130285,1771,12399810
ACETAMINOPHEN,APHTHOUS ULCER,31,2025q2,130285,2006,12399810
ACETAMINOPHEN,APLASIA PURE RED CELL,3,2025q2,130285,428,12399810
ACETAMINOPHEN,APLASTIC ANAEMIA,13,2025q2,130285,632,12399810
ACETAMINOPHEN,APNOEA,8,2025q2,130285,467,12399810
ACETAMINOPHEN,APPENDICECTOMY,4,2025q2,130285,440,12399810
ACETAMINOPHEN,APPENDICITIS,45,2025q2,130285,3860,12399810
ACETAMINOPHEN,APPENDICITIS PERFORATED,1,2025q2,130285,202,12399810
ACETAMINOPHEN,APPENDICOLITH,37,2025q2,130285,3063,12399810
ACETAMINOPHEN,APPENDIX DISORDER,3,2025q2,130285,144,12399810
ACETAMINOPHEN,APPETITE DISORDER,13,2025q2,130285,1544,12399810
ACETAMINOPHEN,APPLICATION SITE BRUISE,1,2025q2,130285,82,12399810
ACETAMINOPHEN,APPLICATION SITE ERYTHEMA,6,2025q2,130285,367,12399810
ACETAMINOPHEN,APPLICATION SITE EXTRAVASATION,1,2025q2,130285,26,12399810
ACETAMINOPHEN,APPLICATION SITE HAEMORRHAGE,1,2025q2,130285,67,12399810
ACETAMINOPHEN,APPLICATION SITE HYPERSENSITIVITY,3,2025q2,130285,122,12399810
ACETAMINOPHEN,APPLICATION SITE LACERATION,4,2025q2,130285,157,12399810
ACETAMINOPHEN,APPLICATION SITE OEDEMA,1,2025q2,130285,7,12399810
ACETAMINOPHEN,APPLICATION SITE PAIN,4,2025q2,130285,429,12399810
ACETAMINOPHEN,APPLICATION SITE PRURITUS,2,2025q2,130285,327,12399810
ACETAMINOPHEN,APPLICATION SITE RASH,2,2025q2,130285,205,12399810
ACETAMINOPHEN,APPLICATION SITE REACTION,2,2025q2,130285,126,12399810
ACETAMINOPHEN,APPLICATION SITE WARMTH,1,2025q2,130285,24,12399810
ACETAMINOPHEN,AREFLEXIA,14,2025q2,130285,587,12399810
ACETAMINOPHEN,ARRHYTHMIA,40,2025q2,130285,3333,12399810
ACETAMINOPHEN,ARRHYTHMIA SUPRAVENTRICULAR,1,2025q2,130285,89,12399810
ACETAMINOPHEN,ARTERIAL BRUIT,1,2025q2,130285,5,12399810
ACETAMINOPHEN,ARTERIAL DISORDER,1,2025q2,130285,139,12399810
ACETAMINOPHEN,ARTERIAL HAEMORRHAGE,2,2025q2,130285,170,12399810
ACETAMINOPHEN,ARTERIAL OCCLUSIVE DISEASE,29,2025q2,130285,1891,12399810
ACETAMINOPHEN,ARTERIAL RUPTURE,1,2025q2,130285,114,12399810
ACETAMINOPHEN,ARTERIAL STENOSIS,1,2025q2,130285,87,12399810
ACETAMINOPHEN,ARTERIAL THROMBOSIS,1,2025q2,130285,68,12399810
ACETAMINOPHEN,ARTERIOSCLEROSIS,5,2025q2,130285,3007,12399810
ACETAMINOPHEN,ARTERIOSCLEROSIS CORONARY ARTERY,13,2025q2,130285,3173,12399810
ACETAMINOPHEN,ARTERIOVENOUS FISTULA,1,2025q2,130285,111,12399810
ACETAMINOPHEN,ARTERIOVENOUS MALFORMATION,1,2025q2,130285,92,12399810
ACETAMINOPHEN,ARTERITIS,1,2025q2,130285,58,12399810
ACETAMINOPHEN,ARTERY DISSECTION,1,2025q2,130285,32,12399810
ACETAMINOPHEN,ARTHRALGIA,941,2025q2,130285,91214,12399810
